# x_1,x_2,Class_label
7.50538612e+01,-9.75195102e+01,1
5.15542168e+01,-8.61312386e+01,1
2.68063319e+01,-2.43816978e+00,1
-5.31584435e+01,-1.00972247e+02,0
2.94447777e+01,4.41700165e+01,1
1.93026489e+01,6.80072216e+01,1
-9.14308896e+01,-3.28756260e+01,0
-1.44979475e+02,5.88173543e+01,0
4.41085144e+01,-5.64508278e+01,1
3.21150203e+01,1.10018161e+01,1
-8.93577526e+01,-2.83114721e+01,0
7.07363528e+01,-1.04677626e+02,1
5.46969052e+00,1.59990492e+02,1
-5.83695072e+01,1.28615607e+02,2
5.01521247e+01,-3.75512342e+01,1
4.62409426e+01,1.78457740e+02,2
-7.84603414e+01,-5.69765228e+01,0
-1.13411771e+02,1.12194082e+01,0
2.26063076e+01,6.59917331e+01,1
-9.76750852e+01,-1.96478358e+01,0
-1.09670674e+02,-6.06589975e+00,0
5.84284160e+01,1.53737334e+02,2
8.17477360e+01,2.91248909e+02,2
-3.02511087e+01,2.66965369e+02,2
4.00616722e+01,-4.44591884e+00,1
-4.90858896e+01,1.02195000e+02,2
-2.20287114e+01,3.49535803e+01,2
2.39337752e+01,3.77021464e+01,1
4.12504794e+01,-6.14309372e+01,1
-5.05837447e+00,1.33605742e+02,1
2.01176288e+01,1.09369845e+02,2
8.56087790e+01,-2.17938224e+02,1
1.73717447e+00,1.11361847e+02,0
1.29109965e+02,2.27403315e+02,2
1.78268349e+01,4.95240707e+01,1
1.44653774e+02,2.63897971e+02,2
8.22856026e+01,2.41607060e+02,2
-1.25413048e+02,2.36407359e+01,0
-1.08886731e+02,-3.22727175e+00,0
4.32304765e+01,-5.36669911e+01,1
-1.27841206e+01,-1.65994696e+02,0
3.33289581e+01,6.93517855e+00,1
1.86159009e+02,2.74650975e+02,2
-4.01470062e+01,1.23869199e+02,2
-7.17860529e+01,-5.47770439e+01,0
2.07184062e+01,4.81744678e+01,1
-1.17846240e+02,7.94457182e+00,0
-1.19677594e+02,1.86914828e+01,0
3.05486740e+01,7.54345634e+01,1
-1.13276350e+02,6.13957301e+00,0
-1.60417114e+02,8.74684489e+01,0
-1.16278788e+02,1.28215846e+01,0
3.64399760e+01,-4.58220405e+01,1
1.84216594e+01,5.99186554e+01,1
-1.11237527e+02,6.76105243e+00,0
1.19675726e+01,1.76593602e+02,2
4.96802866e+01,1.54384139e+02,2
1.55322132e+02,2.14978143e+02,2
4.89276158e+01,1.78834122e+02,2
2.10855698e+01,2.54368998e+01,1
2.68217743e+01,2.89545387e+01,1
5.66550612e+01,-4.55305707e+01,1
3.03841487e+01,3.18000177e+01,1
-1.17628562e+02,1.64046257e+01,0
4.78900258e+01,-6.02406942e+01,1
-2.61907363e+01,-1.41406545e+02,0
5.44208683e+01,-7.99060727e+01,1
-1.41201152e+02,5.00975968e+01,0
-8.07172236e+00,1.58885046e+02,1
4.40659684e+01,-7.50431236e+01,1
-1.00928025e+02,-9.19430979e+00,0
6.77099265e+01,-1.33378742e+02,1
3.66027466e+01,-5.37430964e+01,1
-5.33149534e+00,1.38840763e+02,1
-1.12336015e+02,5.11644673e+00,0
8.66920877e+01,2.52377275e+02,2
4.28164152e+01,2.74856586e+02,0
4.14333619e+01,-1.72706788e+01,1
-1.19060484e+02,1.81912935e+01,0
3.03386012e+01,1.34050469e+02,2
-9.75572766e+01,-1.73745024e+01,0
5.93023171e+00,1.84485627e+02,0
-1.13419837e+02,2.91222092e+00,0
-1.05948481e+02,-4.76217359e+00,0
5.64363327e+01,-4.31165311e+01,1
2.97048491e+01,1.52670484e+02,2
8.19593910e+01,1.90051996e+02,2
-1.12565649e+02,8.18674442e+00,0
7.30551445e+01,-1.68851629e+02,1
7.92564115e+01,1.61197683e+02,2
3.05021916e+01,1.02450790e+02,2
7.52776041e+01,-1.58927782e+02,1
3.96606541e+01,-3.02944007e+01,1
-8.98931267e+01,-1.95465956e+01,0
1.39285751e+01,5.96562330e+01,1
5.14819062e+01,-7.54122891e+01,1
7.29085096e+01,1.16301398e+02,2
3.02060464e+01,-1.13638013e+01,1
5.59790431e+01,1.84508883e+02,2
7.14843386e+01,1.59654256e+02,2
4.68483500e+01,-8.03287921e+01,1
7.02438360e+01,-1.14044832e+02,1
3.98197774e+01,-7.99292989e-01,1
4.25086665e+01,-5.39771488e+01,1
-5.31179787e+01,-9.86955045e+01,0
-1.15739061e+02,4.07196779e+00,0
-4.81600909e+01,1.77887535e+02,2
1.49904178e+02,2.10977422e+02,1
4.03587376e+01,-5.81260663e+01,1
4.04092852e+01,-2.10132382e+01,1
7.26570682e+01,3.31579757e+02,2
-1.58243721e+01,2.13372067e+02,2
-9.13508132e+01,-3.67472787e+01,0
-3.41945554e+01,2.37254241e+01,2
4.53363028e+01,-8.03066901e+01,1
-8.01998466e+01,-5.80218506e+01,0
1.52146624e+02,3.11808911e+02,2
4.53382387e+01,-2.82667105e+01,1
-4.25199702e+01,-1.10695534e+02,0
2.78958740e+01,2.26037919e+02,2
-1.99013774e+01,1.14762934e+02,2
1.27981344e+02,1.81500834e+02,2
-1.16761668e+02,2.32936555e+01,0
3.51313631e+01,-3.57299864e+01,1
9.90052576e+01,1.47180240e+02,2
-1.21514481e+02,2.17837540e+01,0
-1.17561165e+02,1.80194748e+01,0
4.65750914e+01,-9.77390254e+01,1
1.86562308e+01,-2.14632771e+02,0
9.60880580e+01,3.03075810e+02,2
4.67302299e+01,-2.96417462e+00,1
-1.13621300e+02,7.28766868e+00,0
-4.26112706e+00,1.28156137e+02,1
-8.16609888e+01,-5.62114639e+01,1
-1.64554353e+02,9.51322330e+01,0
1.55235910e+01,9.54238322e+01,1
4.51867178e+01,-4.38094528e+00,1
7.39011927e+01,-1.61835993e+02,1
-1.60361003e+02,8.08335655e+01,0
1.24211081e+02,2.81419567e+02,2
2.07865426e+01,5.19004189e+01,1
-9.40355899e+00,2.10421754e+02,2
-3.48973419e+01,-1.24644415e+02,0
6.75528744e+01,-1.23854924e+02,1
-1.81305686e+01,1.10181451e+02,2
-8.24242115e+01,1.02289220e+02,2
-1.28318801e+02,2.69262851e+01,0
2.66672729e+00,1.64914712e+02,2
5.72730361e+01,-8.91648053e+01,1
6.93935114e+01,-6.64339746e+01,0
-2.48691972e+01,2.60964963e+02,2
-5.01525049e+01,-1.00808464e+02,0
2.78572542e+01,5.22516884e+01,1
1.06639652e+02,2.12358200e+02,2
-3.32338203e+01,1.64075665e+02,2
1.32213633e+02,2.54669389e+02,2
5.99981025e+01,-1.70332565e+01,1
-5.16935938e+01,1.42552638e+02,2
5.91299779e+01,1.46887116e+02,2
-1.36397254e+02,5.40783499e+01,0
5.55704505e+01,-8.64596070e+01,1
-1.87324896e+01,1.54066627e+02,1
-1.31689390e+02,3.37284665e+01,0
1.16105047e+02,2.37146653e+02,2
5.30697837e+01,-1.99268897e+01,1
3.05938826e+01,-1.68605066e+01,1
-1.37832916e+02,4.90840406e+01,0
7.43928174e+01,-2.22567891e+02,1
-9.32234215e+01,2.42616755e+01,2
1.48195155e+02,1.35194511e+02,2
-1.85343748e+01,1.77777584e+02,1
1.79741936e+01,1.77082635e+02,2
-1.30331735e+02,4.07182699e+01,0
-8.86423793e+01,-3.81560500e+01,0
3.14477463e+01,2.30850432e+02,2
3.01308356e+00,1.08283371e+02,1
-1.16044644e+02,1.52053701e+01,0
1.39584250e+02,2.52806178e+02,2
1.17963128e+02,1.78029347e+02,2
5.46245157e+01,-6.17085940e+01,2
